"time","link","text","comments","likes","shares"
"2024-09-23T13:26:05.000Z",,"",,"4","0"
"2024-09-23T13:14:47.000Z",,"",,"7","0"
"2024-09-23T12:58:42.000Z",,"","5","9","0"
"2024-09-23T12:44:07.000Z",,"","1","5","0"
"2024-09-23T06:20:18.000Z","https://bit.ly/3TEjxYC","✍🏻📙✉️
#TegoDnia mija kolejna rocznica śmierci Deotymy (Jadwigi Łuszczewskiej).

Polska poetka i powieściopisarka romantyzmu.

Była córką Wacława Łuszczewskiego, radcy stanu i dyrektora Wydziału Przemysłu i Kunsztów w Komisji Spraw Wewnętrznych Królestwa Polskiego, który po wybuchu Powstania Styczniowego w demonstracyjnym geście zrzekł się tytułu szambelana carskiego, za co został skazany na zesłanie, najpierw do Jadrynia, potem do Symbirska i na końcu do Czembaru.

Jadwiga postanowiła towarzyszyć ojcu i prowadzić jego dom zesłańczy. „To było dogodzenie najgwałtowniejszej potrzebie serca, to było uchwycenie się jedynej pociechy, jaka mi w tem nieszczęściu zostawała. Zresztą, czyż to nie był mój najprostszy obowiązek?” (Pamiętnik Deotymy; Warszawa, 1910). Stamtąd słała listy do matki oczekującej w Warszawie na wieści od rodziny.

W zbiorach Cyfrowego MNW znajdziecie unikatową korespondencję rodziny Łuszczewskich z okresu Powstania Styczniowego 
👉🏻 https://bit.ly/3TEjxYC","2","45","18"
"2024-09-22T07:18:42.000Z",,"🍁 Dziś pierwszy dzień astronomicznej jesieni, a ta jesień należy do Chełmońskiego! Zapraszamy na wystawę od 27 września. 

Wykorzystaliśmy obrazy Józefa Chełmońskiego:

🍁 „Jesień"", 1875, kolekcja Wojciecha Pawłowskiego
🍁 „Odlot żurawi"", 1870, @thenationalmuseuminkrakow
🍁 „Przed karczmą - pejzaż jesienny"", 1882, Muzeum Okręgowe im. Leona Wyczółkowskiego w Bydgoszczy
🍁 „Jesień"", 1897, @muzeum_narodowe_poznan

Projekt CHEŁMOŃSKI realizowany w latach 2022-2025 przez Muzeum Narodowe w Warszawie, Muzeum Narodowe w Poznaniu i Muzeum Narodowe w Krakowie.

#jesien #jesiennyvibe #hoahoahoa #józefchełmoński #pejzaż #xixwiek #realizm","1","130","10"
"2024-09-21T06:01:03.000Z",,"🦋💥🍁
#TegoDnia urodził się Edward Okuń.

Był przedstawicielem symbolizmu w sztuce Młodej Polski. Swoją edukację rozpoczął w krakowskiej Szkole Sztuk Pięknych, następnie kontynuował ją w Monachium. 

Artysta malował pejzaże, portrety i kompozycje fantastyczne, jego prace przepełniały kolory i dopracowane detale, tworzył iluzję głębi przestrzennej. 

Jego prace możecie znaleźć w Galerii Sztuki XIX w. lub w Cyfrowym MNW! Przypatrzcie się detalom, poczujcie głębię i podziwiajcie bogatą paletę kolorów.","7","879","93"
"2024-09-20T11:55:42.000Z",,"JÓZEF CHEŁMOŃSKI | KONCERT NA OTWARCIE WYSTAWY

Przyszły tydzień należy do Józefa Chełmońskiego! W piątek otwieramy wystawę, a w sobotę zapraszamy Was na wyjątkowe wydarzenie towarzyszące otwarciu ekspozycji: koncert, spotkanie z artystkami i premierę płyty „Naturceare”.

28 września o 17:00 w holu głównym Muzeum wystąpi Sinfonietta Cracovia pod kierownictwem Lilianny Krych. Usłyszymy cztery nawiązujące do natury kompozycje: Tine Surel Lange i Lindy Catlin Smith oraz premierowe Agaty Zemli i Katariny Gryvul.

Po koncercie zapraszamy na rozmowę z kompozytorkami, którą poprowadzi Krzysztof Pietraszewski, kurator muzyczny projektu. Agata Zemla i Katarina Gryvul opowiedzą o swoich utworach skomponowanych specjalnie do wystawy JÓZEF CHEŁMOŃSKI, a Tine Sure Lange o relacji jej twórczości z naturą.

Winyl „Naturceare” będzie można kupić w naszej księgarni. Znajdziecie na nim kompozycje, które Muzeum zamówiło specjalnie z okazji wystawy. To pierwsza płyta winylowa w naszej historii.

❗️W związku z wernisażem i koncertem, 26 i 28 września Muzeum będzie otwarte dla zwiedzających do 16.00. Przepraszamy za utrudnienia i zapraszamy na wystawę JÓZEF CHEŁMOŃSKI od 27 września.

Do zobaczenia!

KONCERT NATURCEARE: Zemla / Gryvul / Lange / Smith / Sinfonietta Cracovia / Krych
___

Wykonanie utworu „what field whispers” Agaty Zemli dofinansowano ze środków Ministra Kultury i Dziedzictwa Narodowego pochodzących z Funduszu Promocji Kultury – państwowego funduszu celowego, w ramach programu „Zamówienia kompozytorskie”, realizowanego przez Narodowy Instytut Muzyki i Tańca.

Koncert realizowany jest we współpracy z Ambasadą Królestwa Norwegii w Polsce.","1","87","9"
"2024-09-19T12:21:57.000Z","https://tiny.pl/c931xt6m","🦆 Nie idźcie, lećcie zobaczyć program wydarzeń towarzyszących wystawie JÓZEF CHEŁMOŃSKI: https://tiny.pl/c931xt6m

Oprowadzania w prawie każdą niedzielę, spotkania z kuratorami, spacery, zajęcia dla osób w każdym wieku, wieczór w muzeum, debata i oczywiście tradycyjnie wykłady czwartkowe. 

Na naszej stronie znajdziecie szczegółowe informacje o wydarzeniach opatrzone datą, od której rusza sprzedaż biletów.

Do zobaczenia na wystawie 👋

Projekt CHEŁMOŃSKI realizowany w latach 2022–2025 przez Muzeum Narodowe w Warszawie, Muzeum Narodowe w Poznaniu i Muzeum Narodowe w Krakowie.

___

Józef Chełmoński, „Odlot żurawi"", Muzeum Narodowe w Krakowie","1","243","20"
"2024-09-19T06:03:32.000Z","https://cyfrowe.mnw.art.pl/pl/zbiory/514074","🍂🦌 FAUNA CZY FLORA? NATURA W CYFROWYM MNW

Dziś obchodzimy Dzień Dzikiej Fauny, Flory i Naturalnych Siedlisk. Świat roślin i zwierząt to nieprzebrane źródło inspiracji dla artystów.  

Przedstawienia przyrody należą do najstarszych motywów w sztuce. Zwierzęta pojawiły się już na malowidłach naskalnych w okresie paleolitu. Na zwierzęta patrzono ze strachem i zachwytem jednocześnie. Nadawano im znaczenia symboliczne, utożsamiano z bóstwami lub przypisywano cechy ludzkie. 

Wejdź na Cyfrowe MNW i znajdź swoje ulubione zwierzę lub motyw roślinny 🔗 https://cyfrowe.mnw.art.pl/pl/zbiory/514074",,"48","7"
"2024-09-17T12:29:51.000Z",,"","2","14","0"
"2024-09-17T06:45:42.000Z",,"🦆 Do otwarcia  wystawy JÓZEF CHEŁMOŃSKI pozostało 10 dni! 

Gdzie zimują obrazy? O drodze dzieł Chełmońskiego z magazynu na ekspozycję opowiada Tama Richter, Kierowniczka Magazynu Malarstwa.

Zapraszamy od 27 września!

#muzeumnarodowewwarszawie #józefchełmoński #malarstwoxixwieku #wystawa #cozobaczycwwarszawie #realizm","2","111","32"
"2024-09-16T17:40:21.000Z",,"Gratulujemy zwycięzcom! 👏🏻",,"19","1"
"2024-09-16T13:42:24.000Z","https://tiny.pl/r-xthk5z","Spójrzcie, co działo się u nas w sobotę! Muzeum opanowały dzieci – w wydarzeniu Dziecięca SwOBOTA wzięło udział prawie 3500 osób. 

Tego dnia otworzyliśmy naszą Przestrzeń Edukacyjną – ulubione miejsce małych muzealników. W holu głównym i wszystkich galeriach na najmłodszych gości czekały atrakcje przygotowane przez Dział Edukacji.

Jeśli kogoś zmęczyła praca twórcza, mógł odetchnąć w Kinie Muz na pokazie filmów, który przygotowaliśmy wspólnie z Festiwalem Młode Horyzonty.

Dziecięca SwOBOTA była też okazją do zapoznania się z ofertą edukacyjną muzeum. Więcej informacji o naszych zajęciach znajdziecie tutaj: https://tiny.pl/r-xthk5z

Fot. Bartosz Bajerski","6","78","6"
"2024-09-16T08:40:37.000Z","https://fb.me/e/3ODluUToD","📅MUZEALNY ROZKŁAD JAZDY📅

🔴 Muzeum Narodowe w Warszawie:

👶🏻Dla najmłodszych:

🦌17 września, wtorek / 10:30
Muzykoterapia dla dzieci. Muzeum Muzyka i My  / Jeśli chcesz, opowiem Ci bajkę o sowie...

🦌22 września, niedziela / 10:15
RODZINNE NIEDZIELE / Z wizytą u Matejki

👤Dla dorosłych i młodzieży:

🦌17 września, wtorek / 13:00
Czas na sztukę!/ Świat dziecka. Co o dzieciństwie mówi nowoczesne wzornictwo? 

🦌17 września, wtorek / 13:00
Czas na sztukę! / Akademickie spektakle sztuki

🦌17 września, wtorek / 13:00
Czas na sztukę! / Brzydota w sztuce

🦌18 września, środa / 10:30
Qigong w muzeum

🦌20 września, piątek / 16:30
JĘZYK POLSKI PRZEZ SZTUKĘ / ПОЛЬСЬКА МОВА ЧЕРЕЗ МИСТЕЦТВО / Історії часів Середньовіччя 

🦌21 września, sobota / 11:00
Oprowadzania po Galeriach Stałych MNW / Cijurim mi-Polin. Razem przez stulecia

🔵Muzeum Wnętrz w Otwocku Wielkim - Oddział Muzeum Narodowego w Warszawie:

🦇22 września, niedziela / 13:00
Z WIZYTĄ NA MAGNACKIM DWORZE / oprowadzanie dla młodzieży i dorosłych
🔗 https://fb.me/e/3ODluUToD

🦇22 września, niedziela / 17:00
KONCERT WOKALNY „Rozśpiewana jesień pełna dźwięków…”
🔗 https://fb.me/e/2rlJsQ1o2

_____________
👗Narzutka - autor nieznany
Zobacz więcej detali tutaj:
🔗 https://cyfrowe.mnw.art.pl/pl/zbiory/401966

Zobacz więcej obiektów w Cyfrowym MNW:
🔗 https://cyfrowe.mnw.art.pl/pl/strona-glowna",,"15","1"
"2024-09-16T07:57:59.000Z",,"W związku z dramatyczną sytuacją na południu kraju, przekazujemy informację, jak pomóc ofiarom powodzi. 

#WarszawaPomaga",,"26","6"
"2024-09-16T07:46:42.000Z",,"",,"6","0"
"2024-09-16T06:48:50.000Z",,"",,"3","0"
"2024-09-13T11:24:45.000Z","https://tiny.pl/gskp4jqg","Jaką książkę zabralibyście ze sobą w zaświaty? Starożytni Egipcjanie w swoich sarkofagach umieszczali Księgę Umarłych. 

Tekst takiej księgi zawierał wiadomości o topografii zaświatów, imiona strażników kolejnych bram, zaklęcia chroniące przed niebezpieczeństwami i umożliwiające przemianę w istoty nieśmiertelne. Pojawiał się tam także ceremoniał „Otwarcia Ust”, dzięki któremu zmarły mógł oddychać, jeść i pić w zaświatach. 

Księga Umarłych zwykle spisywana była dla mężczyzn, kobiety przedstawiano w nich u boku męża. W naszym Muzeum możecie zobaczyć zupełnie wyjątkowy egzemplarz sporządzony dla kobiety o imieniu Bakai.

Kim była? Wiemy, że piastunką. Według niektórych hipotez Bakai to mamka następcy tronu, Amenhotepa II.

Już jutro podczas Dziecięca SwOBOTA najmłodsi widzowie będą mogli dowiedzieć się, co dokładnie zapisane jest w Księdze. Zapraszamy do Galerii Sztuki Starożytnej!
____

Księga Umarłych Bakai, Teby Zachodnie, Nowe Państwo, poł. 18 dynastii

Zobacz Księgę Umarłych Bakai w Cyfrowym MNW: https://tiny.pl/gskp4jqg",,"38","5"
"2024-09-13T06:40:04.000Z","https://tiny.pl/ss13z10x","Firma Portretowa S.I. Witkiewicz przedstawia  „Portret Juliana Tuwima"".

Dziś 130. rocznica urodzin poety. Z tej okazji przypominamy wiersz „Sitowie"", który nastrojem przypomina nam o nieubłaganym końcu lata.

Sitowie

Wonna mięta nad wodą pachniała,
Kołysały się kępki sitowia,
Brzask różowiał i woda wiała,
Wiew sitowie i miętę owiał.

Nie wiedziałem wtedy, że te zioła
Będą w wierszach słowami po latach
I że kwiaty z daleka po imieniu przywołam
Zamiast leżeć zwyczajnie nad wodą na kwiatach.

Nie wiedziałem, że się będę tak męczył,
Słów szukając dla żywego świata,
Nie wiedziałem, że gdy się tak nad wodą klęczy,
To potem trzeba cierpieć długie lata.

Wiedziałem tylko, że w sitowiu
Są prężne wiotkie i długie włókienka,
Że z nich splotę siatkę leciutką i cienką,
Którą nic nie będę łowił.

Boże dobry moich lat chłopięcych,
Moich jasnych świtów Boże święty!
Czy już w życiu nie będzie więcej
Pachnącej nad stawem mięty?

Czy to już tak zawsze ze wszystkiego
Będę słowa wyrywał w rozpaczy,
I sitowia, sitowia zwyczajnego
Nigdy już zwyczajnie nie zobaczę? 
___

Stanisław Igancy Witkiewicz, „Portret Juliana Tuwima"", II.1929

Zobacz obraz w Cyfrowym MNW: https://tiny.pl/ss13z10x","3","215","18"
"2024-09-12T10:07:26.000Z",,"📽 Wspólnie z Festiwalem Filmowym @mlode_horyzonty zapraszamy na pokaz filmów krótkometrażowych  o przyjaźni, tej międzygatunkowej i międzygalaktycznej.

🗓 Pokazy odbędą się 14.09 (sobota) w godzinach: 11.00, 12.00, 13.00, 14.00, 15.00 i 16.00. 

🦄 Pokazy odbywają się w ramach Dziecięcej SwOBOTY. Tego dnia można skorzystać ze specjalnego biletu za 30 zł dla 5 osób (w tym minimum jedno dziecko do 18 roku życia). Jeśli chcecie wziąć udział w seansie, poproście w kasie o wejściówki na konkretną godzinę.

4️⃣ Filmy krótkometrażowe są skierowane do widzów od 4 roku życia. O 19.30 na Dziedzińcu Lorentza zaprezentujemy film pełnometrażowy ""Marona"" (kategoria wiekowa 8+)

ℹ️ Więcej informacji o wydarzeniu znajdziecie na naszej stronie.

Do zobaczenia!

#filmydladzieci #kinodladzieci #muzeum #muzeumnarodowewwarszawie #festiwalmłodehoryzonty #atrakcjedladzieci
#corobicwweekendwwarszawie",,"12","1"
"2024-09-11T13:43:49.000Z",,"",,"39","0"
"2024-09-10T13:54:31.000Z",,"",,"27","0"
"2024-09-10T12:45:44.000Z",,"🦆 Ruszyła przedsprzedaż biletów na wystawę ""Józef Chełmoński"" 🦆

Nie przegapcie wystawy monograficznej jednego z najwyżej cenionych malarzy w historii polskiej sztuki.

Na wystawie poznacie Chełmońskiego jako kronikarza codziennego życia wsi, artystę zafascynowanego końmi, wrażliwego obserwatora natury.

Zapraszamy na wystawę od 27 września do 26 stycznia. 

A dziś jeden z kuratorów wystawy, Wojciech Głowacki opowiada o tym, jak wyglądają przygotowania do tak dużej wystawy.

Projekt CHEŁMOŃSKI realizowany w latach 2022-2025 przez Muzeum Narodowe w Warszawie, @muzeum_narodowe_poznan i @thenationalmuseuminkrakow 

#chełmoński
#józefchełmoński
#muzeumnarodowewwarszawie #nationalmuseuminwarsaw #malarstwoxixwieku #sztukaxixwieku #wystawa #cozobaczycwwarszawie #realizm","14","433","91"
"2024-09-10T10:17:20.000Z",,"","2","34","0"
"2024-09-10T10:04:44.000Z","https://bit.ly/3Trsgx1","Józef Chełmoński

27 września 2024 – 26 stycznia 2025

Zapraszamy na wystawę od 27 września 2024!

🎟️ https://bit.ly/3Trsgx1","17","760","82"
"2024-09-09T13:58:32.000Z",,"🦄 Już w tę sobotę otwieramy ponownie Przestrzeń Edukacyjną, czyli ulubione miejsce naszych najmłodszych gości. 

🦄 Z tej okazji zapraszmy Was na DZIECIĘCĄ SwOBOTĘ - przygotowaliśmy masę niespodzianek.

🦄 Będziemy grać w klasy i rysować kredą na dziedzińcu, malować na sztalugach, oglądać filmy w kinie Muz. W każdej galerii będą czekać na Was niespodzianki. Więcej informacji znajdziecie na naszej stronie. 

🦄 Tego dnia możecie skorzystać ze specjalnego biletu w cenie 30 zł dla maksymalnie 5 osób (w tym minimum jedno dziecko do 18. roku zycia). 
 
Do zobaczenia! 

#dziecięcaswobota #muzeumdladzieci #wydarzeniawwarszawie #zajeciadladzieci #atrakcjedladzieci #corobicwweekendwwarszawie #sztukadladzieci","1","55","7"
