"Lewy kontekst","Rezultat","Prawy kontekst","Interpretacja","Nazwa własna","Relacja zależnościowa","Lemat nadrzędnika","Izba","Typ","Autor","Mówca","Przynależność mówcy","Rola mówcy","Płeć mówcy","Komisja","Data","Timestamp","Rok","Ustrój","Numer kadencji","Etykieta","Tytuł","Sesja","Dzień","Numer","Część"
" by informacja o tym, że coś jest w procesie"," digitalizacji",", oznaczała brak konieczności digitalizowania tego w innym miejscu.","[digitalizacja:subst:sg:gen:f]","_","comp","proces","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" że coś jest w procesie digitalizacji, oznaczała brak konieczności"," digitalizowania"," tego w innym miejscu. Wreszcie skończyliśmy z taką","[digitalizować:ger:sg:gen:n:imperf:aff]","_","comp","konieczność","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" z taką sytuacją, w której jedna książka jest jednocześnie"," digitalizowana"," w kilku miejscach. To jest ogromna oszczędność i ma","[digitalizować:ppas:sg:nom:f:imperf:aff]","_","pd","być","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" przyszłym roku realizuje projekt za kilkanaście milionów złotych, projekt"," digitalizacji",", ale też ratowania tzw. filmów nitro, filmów","[digitalizacja:subst:sg:gen:f]","_","comp","projekt","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" na początku 2011 roku. Zakup części aparatury do tej"," digitalizacji",", oczywiście, będzie wykorzystany w następnym okresie pomniejszając koszty","[digitalizacja:subst:sg:gen:f]","_","comp","do","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" Chciałbym w tym „wyłowić” tylko tę"," digitalizację"," książek i monitorowanie, czy nie były one już digitalizowanie","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Komisja","","Jerzy Wenderlich","Klub Parlamentarny Sojuszu Lewicy Demokratycznej","Poseł","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" digitalizację książek i monitorowanie, czy nie były one już"," digitalizowanie"," gdzie indziej. Jest to rzecz podobna do takiej sprawy","[digitalizować:ger:sg:nom:n:imperf:aff]","_","subj","być","Sejm","Komisja","","Jerzy Wenderlich","Klub Parlamentarny Sojuszu Lewicy Demokratycznej","Poseł","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" W tej chwili jest to dla nas najważniejsze. Kwestia"," digitalizacji",". Rzeczywiście, jest tak, jak wcześniej króciutko powiedział","[digitalizacja:subst:sg:gen:f]","_","comp","kwestia","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" i, oczywiście, Biblioteka Narodowa. W tej chwili"," digitalizacja"," przebiega tak, iż zeszliśmy z owego nieszczęsnego ostatniego","[digitalizacja:subst:sg:nom:f]","_","subj","przebiegać","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (92)","2009-10-22","1256169600","2009","III RP","6","200711-sjm-kspxx-00092-01","Komisja Kultury i Środków Przekazu /nr 92/","92","","","1"
" realnego działania i funkcjonowania, a nie tylko myślenia o"," digitalizacji"," i informatyzacji, poprzez budowanie systemów prototypowych i tworzenia programów","[digitalizacja:subst:sg:loc:f]","_","conjunct","i","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" Są to nowe wyzwania, prowadzące z jednej strony do"," digitalizacji"," zasobu, aby mógł być udostępniany użytkownikom za pomocą Internetu","[digitalizacja:subst:sg:gen:f]","_","comp","do","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" wieku. Pan minister Tomasz Merta wspomniał o zagadnieniu masowej"," digitalizacji"," materiałów archiwalnych. Ma to ogromne znaczenie z dwóch względów","[digitalizacja:subst:sg:gen:f]","_","comp","zagadnienie","Sejm","Komisja","","Sławomir Radoń","_","Naczelny dyrektor Archiwów Państwowych","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" Fotograficznej. Niewielka część zasobów została zdigitalizowana. Po całkowitej"," digitalizacji"," zbiorów można by mieć do nich dostęp online. Naukowcy","[digitalizacja:subst:sg:loc:f]","_","comp","po","Sejm","Komisja","","Sławomir Radoń","_","Naczelny dyrektor Archiwów Państwowych","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" trzeba je odpowiednio zabezpieczyć. Brakuje środków na konserwację,"," digitalizację",", na nowocześnie pojętą działalność edukacyjną oraz na kształcenie pracowników","[digitalizacja:subst:sg:acc:f]","_","conjunct",",","Sejm","Komisja","","Sławomir Radoń","_","Naczelny dyrektor Archiwów Państwowych","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" szczegółowe pytanie. W wystąpieniach była mowa o masowej akcji"," digitalizacji"," zbiorów. Jest to rzeczywiście potężne przedsięwzięcie i powinno nastąpić","[digitalizacja:subst:sg:gen:f]","_","comp","akcja","Sejm","Komisja","","Marcin Zawiła","_","Poseł","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" Dziedzictwa Narodowego mówiący o możliwości tworzenia różnych rzeczy w sferze"," digitalizacji",". Udzielamy bardzo wielu dotacji, które pomagają konserwować różnego","[digitalizacja:subst:sg:gen:f]","_","comp","sfera","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" struktura miała nieco inaczej zdefiniowane zadania, aby dotyczyły właśnie"," digitalizacji",", problematyki różnych zasobów, będących zasobami cyfrowymi, których","[digitalizacja:subst:sg:gen:f]","_","conjunct",",","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" przepisów wykonawczych. Pan poseł Marcin Zawiła pytał o sprawę"," digitalizacji"," zbiorów w Archiwum Dokumentacji Mechanicznej, które zostanie przekształcone w","[digitalizacja:subst:sg:gen:f]","_","comp","sprawa","Sejm","Komisja","","Sławomir Radoń","_","Naczelny dyrektor Archiwów Państwowych","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" zająć się zadaniami archiwizowania dokumentów elektronicznych. Poza tym chcemy"," digitalizować"," te zbiory w większej skali, a to archiwum będzie","[digitalizować:inf:imperf]","_","comp_inf","chcieć","Sejm","Komisja","","Sławomir Radoń","_","Naczelny dyrektor Archiwów Państwowych","mężczyzna","Komisja Kultury i Środków Przekazu (7)","2008-01-10","1199923200","2008","III RP","6","200711-sjm-kspxx-00007-01","Komisja Kultury i Środków Przekazu /nr 7/","7","","","1"
" że to się bardzo bezpośrednio łączy z trzema elementami:"," digitalizacją"," zasobów dziedzictwa narodowego, nowoczesnymi przemianami bibliotek i przemianą oblicza","[digitalizacja:subst:sg:inst:f]","_","conjunct",",","Sejm","Komisja","","Jacek Weksler","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (139)","2010-11-23","1290470400","2010","III RP","6","200711-sjm-kspxx-00139-01","Komisja Kultury i Środków Przekazu /nr 139/","139","","","1"
" to, że przemiany domów kultury, bibliotek i sfera"," digitalizacji"," dotyczyła przede wszystkim małych miejscowości – do 15 tysięcy mieszkańców","[digitalizacja:subst:sg:gen:f]","_","adjunct","sfera","Sejm","Komisja","","Jacek Weksler","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (139)","2010-11-23","1290470400","2010","III RP","6","200711-sjm-kspxx-00139-01","Komisja Kultury i Środków Przekazu /nr 139/","139","","","1"
". Pozostawił w projekcie „Kultura +” biblioteki i"," digitalizację",". Przeznaczył na to łącznie 500 mln zł, w","[digitalizacja:subst:sg:acc:f]","_","conjunct","i","Sejm","Komisja","","Jacek Weksler","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (139)","2010-11-23","1290470400","2010","III RP","6","200711-sjm-kspxx-00139-01","Komisja Kultury i Środków Przekazu /nr 139/","139","","","1"
" (sądzę, że najbardziej wrażliwy i drażliwy),"," digitalizacja"," polskich książek i ich dostępność w sieci, co jest","[digitalizacja:subst:sg:nom:f]","_","conjunct","i","Sejm","Komisja","","Iwona Śledzińska-Katarasińska","Klub Parlamentarny Platforma Obywatelska","Przewodnicząca poseł","kobieta","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
" te osoby, które znajdują się poza centrami akademickimi."," Digitalizacja"," jest także ogromnie istotna jako narzędzie konserwatorskie, narzędzie zachowania","[digitalizacja:subst:sg:nom:f]","_","subj","być","Sejm","Komisja","","Tomasz Merta","_","Podsekretarz stanu w MKiDN","mężczyzna","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
" poszły na przedsięwzięcia inwestycyjne, które są związane właśnie z"," digitalizacją",". Z tymi najważniejszymi przedsięwzięciami łączymy także projekty, które","[digitalizacja:subst:sg:inst:f]","_","comp","z","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
" Kapitał Ludzki i to wszystko, co jest związane z"," digitalizacją"," w obszarze kultury, znalazło się wśród priorytetów. Jest","[digitalizacja:subst:sg:inst:f]","_","comp","z","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
", że wydawcy od czasu do czasu cofają się z"," digitalizowania"," własnych nowych książek, bo nie są pewni, czy","[digitalizować:ger:sg:gen:n:imperf:aff]","_","comp","z","Sejm","Komisja","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister kultury i dziedzictwa narodowego","mężczyzna","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
"m powiedzieć o drugiej rzeczy, tzn. o programie"," digitalizacji",", który powstał na Kongresie Kultury. Jest to program","[digitalizacja:subst:sg:gen:f]","_","adjunct","program","Sejm","Komisja","","Tomasz Makowski","_","Dyrektor Biblioteki Narodowej","mężczyzna","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
" odpowiedzialne nie tylko za standaryzację, która jest zasadniczą kwestią"," digitalizacji",", ale także za długotrwałe, wieczyste przechowywanie zasobów cyfrowych","[digitalizacja:subst:sg:gen:f]","_","adjunct","kwestia","Sejm","Komisja","","Tomasz Makowski","_","Dyrektor Biblioteki Narodowej","mężczyzna","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
" wieczyste przechowywanie zasobów cyfrowych. Jesteśmy już po pierwszym etapie"," digitalizacji",", w którym inwestowaliśmy w skanery, natomiast teraz","[digitalizacja:subst:sg:gen:f]","_","comp","etap","Sejm","Komisja","","Tomasz Makowski","_","Dyrektor Biblioteki Narodowej","mężczyzna","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
" biblioteki naukowe, jak i publiczne tworzą wspólne konsorcjum dla"," digitalizacji"," i upowszechniania zbiorów cyfrowych. Czy książka elektroniczna wpływa na","[digitalizacja:subst:sg:gen:f]","_","conjunct","i","Sejm","Komisja","","Elżbieta Stefańczyk","_","Przewodnicząca Stowarzyszenia Bibliotekarzy Polskich","kobieta","Komisja Kultury i Środków Przekazu (114)","2010-04-08","1270684800","2010","III RP","6","200711-sjm-kspxx-00114-01","Komisja Kultury i Środków Przekazu /nr 114/","114","","","1"
