"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"biblioteczny",46,88.90109,7,3.78378
"jednolity",45,86.96845,4,2.16216
"tekstowy",45,86.96845,12,6.48649
"powojenny",45,86.96845,14,7.56757
"teoretyczny",44,85.03582,8,4.32432
"mówionej",43,83.10319,20,10.81081
"iv",43,83.10319,13,7.02703
"zbiorowy",43,83.10319,12,6.48649
"niepodległościowy",42,81.17056,6,3.24324
"polonijny",42,81.17056,5,2.70270
"grantowy",42,81.17056,5,2.70270
"komputerowy",42,81.17056,7,3.78378
"ów",42,81.17056,14,7.56757
"ówczesny",41,79.23792,13,7.02703
"online",41,79.23792,13,7.02703
"osobny",41,79.23792,8,4.32432
"podziemny",41,79.23792,10,5.40541
"powszechny",41,79.23792,14,7.56757
"specjalny",40,77.30529,14,7.56757
"poprzedni",40,77.30529,7,3.78378
"wojewódzki",40,77.30529,11,5.94595
"archidiecezjalny",40,77.30529,1,0.54054
"domowy",40,77.30529,21,11.35135
"oficjalny",40,77.30529,15,8.10811
"v",40,77.30529,13,7.02703
"muzealny",39,75.37266,14,7.56757
"potencjalny",39,75.37266,10,5.40541
"genealogiczny",39,75.37266,12,6.48649
"nowoczesny",38,73.44003,15,8.10811
"wewnętrzny",38,73.44003,6,3.24324
"polska",38,73.44003,12,6.48649
"papierowy",38,73.44003,8,4.32432
"ukrainoznawczy",38,73.44003,2,1.08108
"określony",37,71.50740,13,7.02703
"źródłowy",37,71.50740,11,5.94595
"administracyjny",37,71.50740,5,2.70270
"sowiecki",37,71.50740,7,3.78378
"vi",37,71.50740,7,3.78378
"katolicki",37,71.50740,6,3.24324
"humanistyczny",37,71.50740,16,8.64865
"nieznany",37,71.50740,19,10.27027
"żywy",36,69.57476,14,7.56757
"greckokatolicki",36,69.57476,2,1.08108
"jakikolwiek",36,69.57476,14,7.56757
"subiektywny",35,67.64213,4,2.16216
"przemysłowy",35,67.64213,11,5.94595
"królewski",35,67.64213,12,6.48649
"pierwotny",35,67.64213,11,5.94595
"uniwersytecki",35,67.64213,9,4.86486
"przykładowy",34,65.70950,5,2.70270
"międzywojenny",34,65.70950,14,7.56757
"chronologiczny",34,65.70950,6,3.24324
"specyficzny",33,63.77687,7,3.78378
"wczesny",33,63.77687,11,5.94595
"naturalny",33,63.77687,10,5.40541
"popularny",33,63.77687,14,7.56757
"charakterystyczny",33,63.77687,13,7.02703
"akademicki",33,63.77687,16,8.64865
"terytorialny",33,63.77687,8,4.32432
"europejski",32,61.84423,16,8.64865
"łatwy",32,61.84423,10,5.40541
"filmowy",32,61.84423,15,8.10811
"następny",32,61.84423,13,7.02703
"były",32,61.84423,19,10.27027
"materialny",32,61.84423,12,6.48649
"lubelski",32,61.84423,11,5.94595
"parafialny",32,61.84423,6,3.24324
"świadomy",31,59.91160,13,7.02703
"ewentualny",31,59.91160,5,2.70270
"obszerny",31,59.91160,7,3.78378
"niezwykły",31,59.91160,23,12.43243
"znaczny",31,59.91160,6,3.24324
"przemyski",31,59.91160,3,1.62162
"skrajny",30,57.97897,3,1.62162
"kancelaryjny",30,57.97897,4,2.16216
"ciągły",30,57.97897,9,4.86486
"generalny",30,57.97897,2,1.08108
"urzędowy",30,57.97897,8,4.32432
"promocyjny",30,57.97897,11,5.94595
"zabytkowy",30,57.97897,15,8.10811
"graficzny",30,57.97897,7,3.78378
"niepubliczny",30,57.97897,4,2.16216
"inwentarzowy",29,56.04634,3,1.62162
"zakładowy",29,56.04634,8,4.32432
"metrykalny",29,56.04634,4,2.16216
"zasadniczy",29,56.04634,10,5.40541
"tamten",29,56.04634,10,5.40541
"odrębny",28,54.11370,6,3.24324
"pozytywny",28,54.11370,7,3.78378
"szklany",28,54.11370,6,3.24324
"wyjątkowy",28,54.11370,17,9.18919
"rozmaity",28,54.11370,8,4.32432
"xii",28,54.11370,4,2.16216
"tzw.",28,54.11370,8,4.32432
"skomplikowany",27,52.18107,6,3.24324
"literacki",27,52.18107,8,4.32432
"częsty",27,52.18107,6,3.24324
"studencki",27,52.18107,6,3.24324
"ludzki",27,52.18107,16,8.64865
"śląski",26,50.24844,10,5.40541
"dotacyjny",26,50.24844,11,5.94595
"wartościowy",26,50.24844,14,7.56757
"południowo-wschodni",26,50.24844,4,2.16216
"aktualny",26,50.24844,11,5.94595
"majątkowy",26,50.24844,4,2.16216
"darmowy",26,50.24844,15,8.10811
"samodzielny",25,48.31581,9,4.86486
"międzypokoleniowy",25,48.31581,15,8.10811
"krytyczny",25,48.31581,8,4.32432
"ikonograficzny",25,48.31581,12,6.48649
"krakowski",25,48.31581,10,5.40541
"pilotażowy",25,48.31581,3,1.62162
"późny",25,48.31581,9,4.86486
"chomętowskiej",25,48.31581,1,0.54054
"poważny",25,48.31581,6,3.24324
"ograniczony",25,48.31581,7,3.78378
"czasowy",25,48.31581,7,3.78378
"wyznaniowy",24,46.38318,8,4.32432
"początkowy",24,46.38318,7,3.78378
"zgodny",24,46.38318,12,6.48649
"wielokrotny",24,46.38318,9,4.86486
"przydatny",24,46.38318,8,4.32432
"komunikacyjny",24,46.38318,5,2.70270
"końcowy",24,46.38318,18,9.72973
"etnograficzny",24,46.38318,8,4.32432
"xviii",24,46.38318,7,3.78378
"twórczy",24,46.38318,15,8.10811
"niski",24,46.38318,5,2.70270
"dokumentalny",24,46.38318,15,8.10811
"obcy",23,44.45054,8,4.32432
"miejscowy",23,44.45054,10,5.40541
"konspiracyjny",23,44.45054,3,1.62162
"doktorski",23,44.45054,8,4.32432
"prawdziwy",23,44.45054,13,7.02703
"wizualny",23,44.45054,12,6.48649
"etyczny",23,44.45054,10,5.40541
"odmienny",23,44.45054,5,2.70270
"metodyczny",23,44.45054,7,3.78378
"realny",22,42.51791,10,5.40541
"wiśniowy",22,42.51791,2,1.08108
"konserwatorski",22,42.51791,6,3.24324
"swobodny",22,42.51791,5,2.70270
"wybitny",22,42.51791,9,4.86486
"metodologiczny",22,42.51791,3,1.62162
"luźny",22,42.51791,4,2.16216
"bogaty",22,42.51791,13,7.02703
"wart",22,42.51791,9,4.86486
"doskonały",22,42.51791,9,4.86486
"specjalistyczny",22,42.51791,11,5.94595
"niematerialny",22,42.51791,8,4.32432
"odpowiedzialny",22,42.51791,11,5.94595
"zły",22,42.51791,6,3.24324
"zbrojny",22,42.51791,7,3.78378
"magisterski",22,42.51791,6,3.24324
"obiektywny",22,42.51791,4,2.16216
"dokumentowy",21,40.58528,6,3.24324
"biały",21,40.58528,11,5.94595
"dokładny",21,40.58528,11,5.94595
"pewien",21,40.58528,8,4.32432
"bezpieczny",21,40.58528,11,5.94595
"porządkowy",21,40.58528,2,1.08108
"itp.",21,40.58528,9,4.86486
"bronowicki",21,40.58528,4,2.16216
"piękny",21,40.58528,12,6.48649
"drobny",21,40.58528,8,4.32432
"emocjonalny",21,40.58528,6,3.24324
"mechaniczny",21,40.58528,5,2.70270
"pokrewny",21,40.58528,14,7.56757
"drewniany",21,40.58528,7,3.78378
"jagielloński",20,38.65265,10,5.40541
"pedagogiczny",20,38.65265,7,3.78378
"dowolny",20,38.65265,17,9.18919
"krajeński",20,38.65265,3,1.62162
"klasyczny",20,38.65265,6,3.24324
"obowiązujący",20,38.65265,5,2.70270
"powiatowy",20,38.65265,8,4.32432
"kontaktowy",20,38.65265,6,3.24324
"trwały",20,38.65265,10,5.40541
"uniwersalny",20,38.65265,10,5.40541
"dzisiejszy",20,38.65265,13,7.02703
"skuteczny",20,38.65265,7,3.78378
"im.",20,38.65265,8,4.32432
"religijny",20,38.65265,5,2.70270
"stoczniowy",20,38.65265,1,0.54054
"xi",20,38.65265,3,1.62162
"włocławski",20,38.65265,2,1.08108
"stacjonarny",20,38.65265,16,8.64865
"demokratyczny",20,38.65265,6,3.24324
"znaczący",20,38.65265,9,4.86486
"ʤː",19,36.72001,1,0.54054
"wąski",19,36.72001,7,3.78378
"gotowy",19,36.72001,8,4.32432
"zależny",19,36.72001,3,1.62162
"małopolski",19,36.72001,6,3.24324
"tajny",19,36.72001,4,2.16216
"sąsiedzki",19,36.72001,8,4.32432
"szybki",19,36.72001,6,3.24324
"curie-skłodowskiej",19,36.72001,7,3.78378
"wieczysty",19,36.72001,5,2.70270
"letni",19,36.72001,8,4.32432
"instytucjonalny",19,36.72001,9,4.86486
"xxi",19,36.72001,5,2.70270
"mailowy",19,36.72001,12,6.48649
"systematyczny",18,34.78738,8,4.32432
"popularnonaukowy",18,34.78738,5,2.70270
"komercyjny",18,34.78738,10,5.40541
"oczywisty",18,34.78738,10,5.40541
"dzienny",18,34.78738,9,4.86486
"projektowy",18,34.78738,8,4.32432
"xvi",18,34.78738,5,2.70270
"redakcyjny",18,34.78738,9,4.86486
"etniczny",18,34.78738,8,4.32432
"atrakcyjny",18,34.78738,11,5.94595
"wspaniały",18,34.78738,15,8.10811
"wzajemny",18,34.78738,10,5.40541
"rządowy",18,34.78738,6,3.24324
"ĺ",18,34.78738,1,0.54054
"celowy",17,32.85475,6,3.24324
"angielski",17,32.85475,5,2.70270
"lęborski",17,32.85475,4,2.16216
"alternatywny",17,32.85475,7,3.78378
"kombatancki",17,32.85475,5,2.70270
"wielokulturowy",17,32.85475,8,4.32432
"symboliczny",17,32.85475,10,5.40541
"komunistyczny",17,32.85475,6,3.24324
"mobilny",17,32.85475,13,7.02703
"jednoczesny",17,32.85475,3,1.62162
"warsztatowy",17,32.85475,9,4.86486
"statutowy",17,32.85475,6,3.24324
"rybnicki",17,32.85475,5,2.70270
"kartograficzny",17,32.85475,5,2.70270
"wieloletni",17,32.85475,11,5.94595
"podległy",17,32.85475,3,1.62162
"lewy",17,32.85475,6,3.24324
"wasz",17,32.85475,10,5.40541
"górny",17,32.85475,6,3.24324
"architektoniczny",17,32.85475,8,4.32432
"unikalny",16,30.92212,12,6.48649
"ostateczny",16,30.92212,6,3.24324
"partyjny",16,30.92212,3,1.62162
"poznański",16,30.92212,12,6.48649
"dydaktyczny",16,30.92212,8,4.32432
"prawy",16,30.92212,6,3.24324
"prawidłowy",16,30.92212,6,3.24324
"toruński",16,30.92212,1,0.54054
"regularny",16,30.92212,6,3.24324
"wyraźny",16,30.92212,6,3.24324
"masowy",16,30.92212,5,2.70270
"wiśniowski",16,30.92212,2,1.08108
"całkowity",16,30.92212,6,3.24324
"bezstratny",16,30.92212,2,1.08108
"narracyjny",16,30.92212,6,3.24324
"niemożliwy",16,30.92212,4,2.16216
"licencyjny",16,30.92212,9,4.86486
"zachodni",16,30.92212,9,4.86486
"sanocki",16,30.92212,1,0.54054
"stosowny",16,30.92212,11,5.94595
"kolejowy",16,30.92212,6,3.24324
"magazynowy",16,30.92212,2,1.08108
"ścisły",15,28.98948,6,3.24324
"nt.",15,28.98948,3,1.62162
"spory",15,28.98948,7,3.78378
"ewidencyjny",15,28.98948,5,2.70270
"silny",15,28.98948,11,5.94595
"konsystorski",15,28.98948,1,0.54054
"dziekański",15,28.98948,1,0.54054
"książkowy",15,28.98948,5,2.70270
"bibliograficzny",15,28.98948,3,1.62162
"mocny",15,28.98948,8,4.32432
"programowy",15,28.98948,8,4.32432
"grybowski",15,28.98948,2,1.08108
"tys.",15,28.98948,7,3.78378
"teatralny",15,28.98948,9,4.86486
"pisemny",15,28.98948,6,3.24324
"niedostępny",15,28.98948,5,2.70270
"informatyczny",15,28.98948,6,3.24324
"animacyjny",15,28.98948,8,4.32432
"rosyjski",15,28.98948,7,3.78378
"złożony",15,28.98948,8,4.32432
"zamknięty",14,27.05685,5,2.70270
"niepowtarzalny",14,27.05685,5,2.70270
"pamiątkowy",14,27.05685,9,4.86486
"personalny",14,27.05685,6,3.24324
"polsko-ukraińskie",14,27.05685,2,1.08108
"dyplomatyczny",14,27.05685,4,2.16216
"telefoniczny",14,27.05685,5,2.70270
"nadrzędny",14,27.05685,8,4.32432
"ubiegły",14,27.05685,11,5.94595
"robotniczy",14,27.05685,6,3.24324
"sportowy",14,27.05685,9,4.86486
"vii",14,27.05685,6,3.24324
"zrobiłeś",14,27.05685,14,7.56757
"xiii",14,27.05685,4,2.16216
"studyjny",14,27.05685,8,4.32432
"typowy",14,27.05685,8,4.32432
"zaawansowany",14,27.05685,7,3.78378
"anonimowy",14,27.05685,11,5.94595
"ilościowy",14,27.05685,2,1.08108
"okręgowy",13,25.12422,3,1.62162
"średni",13,25.12422,8,4.32432
"osiemdziesiąty",13,25.12422,4,2.16216
"jednostkowy",13,25.12422,6,3.24324
"węglowy",13,25.12422,5,2.70270
"statystyczny",13,25.12422,7,3.78378
"ustrojowy",13,25.12422,4,2.16216
"fascynujący",13,25.12422,8,4.32432
"drogi",13,25.12422,10,5.40541
"poniższy",13,25.12422,8,4.32432
"walny",13,25.12422,3,1.62162
"czwarty",13,25.12422,3,1.62162
"kompletny",13,25.12422,6,3.24324
"spuścizna",13,25.12422,2,1.08108
"jasny",13,25.12422,6,3.24324
"alfabetyczny",13,25.12422,4,2.16216
"członkowski",13,25.12422,3,1.62162
"przekonany",13,25.12422,9,4.86486
"wystawienniczy",13,25.12422,5,2.70270
"medialny",13,25.12422,8,4.32432
"sądowy",13,25.12422,3,1.62162
"chrześcijański",13,25.12422,4,2.16216
"nieheteronormatywnych",13,25.12422,1,0.54054
"chętny",13,25.12422,10,5.40541
"zwyczajny",13,25.12422,6,3.24324
"xv",13,25.12422,5,2.70270
"analogiczny",13,25.12422,3,1.62162
"zjednoczony",13,25.12422,5,2.70270
"pomocniczy",13,25.12422,6,3.24324
"ogólnodostępny",13,25.12422,10,5.40541
"estetyczny",13,25.12422,6,3.24324
"łączny",12,23.19159,5,2.70270
"opisowy",12,23.19159,2,1.08108
"środowiskowy",12,23.19159,6,3.24324
"ix",12,23.19159,3,1.62162
"plenerowy",12,23.19159,5,2.70270
"stabilny",12,23.19159,4,2.16216
"czerwony",12,23.19159,7,3.78378
"porównawczy",12,23.19159,3,1.62162
"pomocny",12,23.19159,5,2.70270
"kompleksowy",12,23.19159,8,4.32432
"brytyjski",12,23.19159,2,1.08108
"amerykański",12,23.19159,7,3.78378
"miniony",12,23.19159,9,4.86486
"roboczy",12,23.19159,6,3.24324
"magnetofonowy",12,23.19159,3,1.62162
"dziewięćdziesiąty",12,23.19159,3,1.62162
"standardowy",12,23.19159,5,2.70270
"myślenicki",12,23.19159,6,3.24324
"czarny",12,23.19159,5,2.70270
"tegoroczny",12,23.19159,11,5.94595
"kujawsko-kaliskiej",12,23.19159,1,0.54054
"geograficzny",12,23.19159,5,2.70270
"cykliczny",12,23.19159,4,2.16216
"seksualny",12,23.19159,5,2.70270
"czasochłonny",12,23.19159,4,2.16216
"licencjacki",12,23.19159,5,2.70270
"względny",12,23.19159,3,1.62162
"zdecydowany",12,23.19159,8,4.32432
"liturgiczny",12,23.19159,3,1.62162
"zjednoczone",12,23.19159,4,2.16216
"nowożytny",12,23.19159,4,2.16216
"dobrowolny",12,23.19159,10,5.40541
"wyborczy",12,23.19159,3,1.62162
"itd.",11,21.25896,5,2.70270
"ponowny",11,21.25896,5,2.70270
"popularyzatorski",11,21.25896,6,3.24324
"duszpasterski",11,21.25896,2,1.08108
"pożarny",11,21.25896,7,3.78378
"dyskursologicznych",11,21.25896,1,0.54054
"tj.",11,21.25896,2,1.08108
"libiąski",11,21.25896,2,1.08108
"równoznaczny",11,21.25896,5,2.70270
"słaby",11,21.25896,6,3.24324
"negatywny",11,21.25896,5,2.70270
"michałowicki",11,21.25896,3,1.62162
"ponowoczesny",11,21.25896,5,2.70270
"minimalny",11,21.25896,4,2.16216
"radziecki",11,21.25896,6,3.24324
"analityczny",11,21.25896,8,4.32432
"barwny",11,21.25896,9,4.86486
"biskupi",11,21.25896,1,0.54054
"lokalowy",11,21.25896,3,1.62162
"zielony",11,21.25896,9,4.86486
"cywilny",11,21.25896,5,2.70270
"oddzielny",11,21.25896,6,3.24324
"intensywny",11,21.25896,7,3.78378
"nowa",10,19.32632,5,2.70270
"ruski",10,19.32632,2,1.08108
"a",10,19.32632,9,4.86486
"pocztowy",10,19.32632,7,3.78378
"językowy",10,19.32632,5,2.70270
"polsko-ukraińskiego",10,19.32632,3,1.62162
"położony",10,19.32632,6,3.24324
"poświęcony",10,19.32632,6,3.24324
"dyskursywny",10,19.32632,1,0.54054
"sztumski",10,19.32632,1,0.54054
"problemowy",10,19.32632,3,1.62162
"skromny",10,19.32632,6,3.24324
"autentyczny",10,19.32632,7,3.78378
"empiryczny",10,19.32632,2,1.08108
"automatyczny",10,19.32632,6,3.24324
"socjalistyczny",10,19.32632,3,1.62162
"wzorcowy",10,19.32632,5,2.70270
"wakacyjny",10,19.32632,6,3.24324
"mieszany",10,19.32632,3,1.62162
"chrząszczowy",10,19.32632,1,0.54054
"marketingowy",10,19.32632,9,4.86486
"multimedialny",10,19.32632,8,4.32432
"antykomunistyczny",10,19.32632,3,1.62162
"coroczny",10,19.32632,8,4.32432
"metalowy",10,19.32632,3,1.62162
"plastyczny",10,19.32632,6,3.24324
"x",10,19.32632,3,1.62162
"wielkoformatowy",10,19.32632,4,2.16216
"modernistyczny",10,19.32632,4,2.16216
"przystępny",10,19.32632,5,2.70270
"stosowany",10,19.32632,2,1.08108
"bezcenny",10,19.32632,7,3.78378
"zbiorczy",10,19.32632,2,1.08108
"pobliski",10,19.32632,5,2.70270
"herstoryczne",10,19.32632,1,0.54054
"ochotniczy",10,19.32632,6,3.24324
"niepełnosprawny",10,19.32632,3,1.62162
"łemkowski",10,19.32632,2,1.08108
"któryś",10,19.32632,5,2.70270
"panieński",9,17.39369,2,1.08108
"kalkulacyjny",9,17.39369,1,0.54054
"biurowy",9,17.39369,4,2.16216
"międzykulturowy",9,17.39369,4,2.16216
"poznawczy",9,17.39369,6,3.24324
"dynamiczny",9,17.39369,6,3.24324
"konsultacyjny",9,17.39369,7,3.78378
"dyskowy",9,17.39369,3,1.62162
"korzystny",9,17.39369,6,3.24324
"przedmiotowy",9,17.39369,4,2.16216
"niekomercyjny",9,17.39369,3,1.62162
"przenośny",9,17.39369,2,1.08108
"słynny",9,17.39369,5,2.70270
"przypadkowy",9,17.39369,6,3.24324
"szlachecki",9,17.39369,5,2.70270
"rewizyjny",9,17.39369,4,2.16216
"rzeczywisty",9,17.39369,9,4.86486
"wykonawczy",9,17.39369,2,1.08108
"bezkwasowych",9,17.39369,3,1.62162
"uroczysty",9,17.39369,8,4.32432
"nieaktowy",9,17.39369,2,1.08108
"fachowy",9,17.39369,5,2.70270
"spółdzielczy",9,17.39369,3,1.62162
"muzyczny",9,17.39369,7,3.78378
"księgowy",9,17.39369,5,2.70270
"szary",9,17.39369,3,1.62162
"szpulowy",9,17.39369,3,1.62162
"grupowy",9,17.39369,7,3.78378
"płynny",9,17.39369,3,1.62162
"twardy",9,17.39369,5,2.70270
"użyteczny",9,17.39369,5,2.70270
"red.",9,17.39369,5,2.70270
"wielkopolski",9,17.39369,5,2.70270
"wspomnieniowy",9,17.39369,5,2.70270
"jubileuszowy",9,17.39369,3,1.62162
"zagrożony",9,17.39369,5,2.70270
"wrażliwy",9,17.39369,5,2.70270
"hitlerowski",9,17.39369,4,2.16216
"honorowy",9,17.39369,7,3.78378
"informacyjno-ewidencyjne",9,17.39369,1,0.54054
"zimowy",9,17.39369,4,2.16216
"idealny",9,17.39369,5,2.70270
"ogólnokształcący",9,17.39369,5,2.70270
