"corpus","user/mw0000/archiwa_spoleczne"
"następny",32
"archiwizować",32
"krajobraz",32
"karton",32
"28",32
"wykład",32
"wpisywać",32
"zgłosić",32
"broszura",32
"parafialny",32
"|",32
"franciszek",32
"staż",32
"zbudować",32
"chyba",32
"stosunek",32
"6srvre",32
"46",32
"mieścić",32
"były",32
"dr.",32
"wystarczyć",31
"oglądać",31
"łuba",31
"wychodzić",31
"przejść",31
"impact",31
"najpierw",31
"czekać",31
"konstankiewicz",31
"znaczny",31
"jóźwik",31
"stanąć",31
"przemyski",31
"ewentualny",31
"obywatel",31
"+/-",31
"poznawać",31
"d",31
"2019",31
"rozmiar",31
"qvw",31
"niezwykły",31
"kampania",31
"76",31
"galicja",31
"propozycja",31
"1982",31
"1984",31
"wrocław",31
"zajęcia",31
"dzdfnlhm",31
"obszerny",31
"utrzymać",31
